=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.04.08 13:18:34 =~=~=~=~=~=~=~=~=~=~=~=
>-240 72 2320 -16 38 30
>-241 72 2321 -10 37 32
>-246 70 2324 -12 40 35
>-243 70 2319 -9 41 32
>-240 70 2324 -17 35 32
>-242 71 2325 -13 38 28
>-248 67 2317 -18 42 29
>-245 67 2319 -27 44 29
>-241 65 2323 -14 35 28
>-243 68 2326 -11 38 28
>-243 69 2324 -15 39 27
>-246 67 2322 -12 37 28
>-247 69 2320 -15 42 28
>-245 66 2321 -16 43 31
>-245 64 2319 -17 39 30
>-244 68 2318 -15 38 30
>-247 69 2323 -17 37 29
>-247 69 2325 -21 36 32
>-243 67 2322 -13 38 32
>-246 69 2322 -9 40 31
>-243 70 2326 -8 35 35
>-239 73 2326 -6 33 35
>-238 73 2315 -25 37 32
>-239 74 2321 -16 42 36
>-239 74 2329 -6 33 31
>-234 68 2330 -15 37 28
>-237 68 2317 -22 42 32
>-245 65 2316 -16 42 29
>-248 67 2327 -6 38 35
>-244 65 2324 -10 40 36
>-241 66 2315 -20 36 32
>-243 55 2322 -15 38 29
>-241 64 2323 -12 36 30
>-243 58 2314 -11 37 34
>-245 62 2328 1 43 36
>-248 65 2321 -12 32 37
>-249 74 2313 -13 39 35
>-246 78 2315 -15 36 36
>-240 79 2330 -2 34 32
>-236 78 2325 -17 41 32
>-237 79 2317 -19 34 33
>-241 79 2313 -10 36 31
>-239 73 2325 -7 34 30
>-237 73 2322 -14 43 26
>-244 64 2315 -19 41 22
>-250 64 2323 -19 40 19
>-249 63 2323 -16 40 23
>-245 57 2323 -17 39 19
>-240 27 2314 -42 45 25
>-254 59 2332 10 45 42
>-264 84 2325 23 16 41
>-258 87 2312 -33 42 36
>-248 79 2309 -38 48 31
>-240 78 2341 37 27 29
>-233 82 2326 -20 27 20
>-228 57 2311 -44 49 21
>-231 62 2320 -12 41 31
>-235 62 2335 5 33 33
>-241 61 2319 -33 49 37
>-247 54 2315 -30 41 35
>-253 63 2326 3 42 34
>-251 61 2331 -12 33 29
>-244 57 2317 -20 42 35
>-246 65 2319 -11 39 27
>-246 67 2326 6 35 34
>-247 73 2320 -15 39 40
>-256 89 2329 8 30 46
>-246 85 2321 -11 34 48
>-244 86 2315 -29 43 39
>-242 89 2323 -5 41 36
>-238 76 2328 -4 35 25
>-236 75 2323 -31 44 24
>-238 67 2321 -30 38 27
>-234 59 2322 -14 35 21
>-239 55 2329 -19 40 22
>-246 54 2322 -24 44 27
>-254 59 2310 -26 46 26
>-251 62 2327 -1 36 33
>-245 63 2326 -5 27 31
>-246 68 2315 -24 43 27
>-249 66 2320 -7 33 28
>-245 69 2326 -3 31 35
>-243 71 2317 -18 40 37
>-242 70 2327 -15 34 36
>-239 76 2318 -10 32 38
>-237 74 2318 -9 40 40
>-240 69 2332 -3 39 36
>-238 60 2326 -17 30 29
>-235 58 2314 -27 42 31
>-241 62 2322 -9 43 32
>-246 65 2329 2 36 31
>-245 70 2324 -17 40 31
>-250 76 2316 -17 47 32
>-245 79 2321 -5 33 31
>-242 82 2320 -13 35 29
>-239 79 2317 -24 45 26
>-240 79 2326 -11 33 29
>-236 76 2328 -12 35 25
>-239 70 2321 -21 32 20
>-236 63 2315 -23 43 25
>-240 57 2317 -17 45 23
>-248 62 2320 -11 36 25
>-255 66 2327 -15 33 26
>-252 68 2320 -19 37 33
>-250 74 2315 -20 38 23
>-245 72 2315 -5 40 16
>-244 67 2328 -11 39 23
>-240 60 2330 -17 42 27
>-241 58 2312 -17 40 40
>-243 67 2317 -10 38 40
>-240 62 2328 -10 41 40
>-239 62 2325 -7 41 37
>-246 60 2322 -12 35 32
>-243 75 2320 -15 31 34
>-248 79 2318 -11 33 33
>-246 83 2320 -6 36 30
>-244 83 2328 -9 35 28
>-239 78 2333 -17 42 29
>-241 74 2324 -19 40 28
>-242 72 2315 -20 36 33
>-243 72 2315 -15 38 29
>-254 71 2315 -9 38 27
>-247 70 2329 -11 41 26
>-243 71 2328 -17 34 30
>-246 62 2321 -25 36 23
>-247 57 2316 -18 40 26
>-239 59 2320 -10 39 30
>-236 63 2326 -13 37 37
>-240 65 2323 -11 41 38
>-240 68 2325 -18 40 28
>-241 68 2323 -17 41 34
>-239 68 2320 -19 39 33
>-245 69 2328 -5 41 31
>-246 71 2324 -11 35 34
>-245 72 2320 -21 37 34
>-247 79 2322 -11 36 26
>-240 77 2318 -6 29 33
>-246 73 2320 -19 39 29
>-243 71 2328 -19 42 26
>-239 69 2322 -15 35 27
>-243 68 2323 -15 38 31
>-240 69 2321 -21 41 29
>-242 62 2321 -14 39 25
>-244 66 2329 -14 38 28
>-242 66 2323 -16 38 28
>-249 65 2322 -19 36 31
>-248 69 2319 -12 41 28
>-240 65 2328 -15 35 32
>-238 68 2330 -19 36 31
>-237 70 2324 -9 34 25
>-243 68 2319 -11 42 35
>-247 67 2318 -10 42 36
>-241 67 2320 -15 41 31
>-239 66 2323 -13 39 34
>-244 68 2320 -20 43 35
>-245 70 2318 -13 39 30
>-238 74 2320 -13 37 31
>-236 75 2321 -15 38 36
>-241 71 2322 -15 37 39
>-244 73 2325 -16 43 34
>-247 70 2328 -14 34 32
>-243 73 2329 -17 43 27
>-239 68 2328 -24 40 27
>-247 65 2321 -25 40 27
>-242 66 2321 -13 41 30
>-242 66 2321 -13 40 31
>-242 68 2324 -17 35 29
>-241 69 2321 -13 37 27
>-245 67 2320 -7 39 32
>-246 66 2327 -8 36 29
>-243 69 2324 -17 39 26
>-241 68 2326 -15 36 39
>-241 66 2320 -16 42 34
>-242 67 2315 -21 39 29
>-244 72 2321 -17 36 27
>-244 68 2321 -12 37 32
>-243 67 2322 -12 33 31
>-236 71 2323 -15 33 35
>-239 68 2326 -17 37 33
>-241 67 2326 -12 41 28
>-241 64 2324 -11 39 29
>-244 65 2323 -16 42 30
>-246 71 2322 -14 40 30
>-245 69 2320 -14 38 29
>-247 67 2322 -18 41 31
>-246 71 2322 -10 36 29
>-241 67 2323 -11 33 32
>-243 66 2318 -16 40 37
>-237 67 2316 -12 38 26
>-239 63 2319 -13 39 25
>-235 70 2323 -18 38 30
>-240 68 2323 -12 30 31
>-243 64 2324 -14 36 32
>-246 70 2321 -16 39 32
>-250 67 2318 -15 38 29
>-246 70 2332 -12 38 34
>-246 72 2326 -12 36 30
>-243 72 2317 -10 37 33
>-249 68 2323 -14 36 32
>-242 70 2321 -13 39 30
>-241 71 2319 -14 39 35
>-241 66 2321 -17 35 34
>-241 71 2316 -18 38 32
>-237 65 2313 -13 37 30
>-244 60 2322 -12 37 29
>-244 68 2324 -15 36 32
>-244 67 2321 -18 40 24
>-242 69 2324 -10 42 33
>-238 70 2328 -5 33 33
>-237 70 2318 -20 35 26
>-242 75 2321 -14 43 25
>-242 75 2318 -9 39 26
>-245 75 2329 -17 35 26
>-245 72 2331 -20 31 28
>-243 65 2319 -14 32 30
>-251 68 2321 -17 42 25
>-250 71 2326 -15 37 29
>-245 69 2324 -14 34 33
>-246 65 2327 -16 36 28
>-246 64 2322 -13 36 29
>-245 73 2322 -16 33 37
>-243 69 2318 -16 36 38
>-236 68 2319 -9 37 33
>-233 64 2326 -9 34 29
>-233 66 2327 -11 37 36
